Extract.Date,LA.Code,LA.Name,Breakdown.Field,Breakdown.Value,Patient.Count,LAD19NM,pop19,age65plus,pct_over65_18,RGN19CD,RGN19NM,Shielders_pct,rank_imd,decile_imd,quintile_imd,rank_income,decile_income,quintile_income
16/09/2020,E07000144,Broadland,ALL,ALL,6185,Broadland,130783,33770,25.8213988056552,E12000006,East of England,4.72920792457735,264,9,5,261,9,5
16/09/2020,E07000045,Teignbridge,ALL,ALL,6320,Teignbridge,134163,35687,26.5997331604094,E12000009,South West,4.7106877455036,194,7,4,178,6,3
16/09/2020,E07000074,Maldon,ALL,ALL,3050,Maldon,64926,16452,25.3396174105905,E12000006,East of England,4.69765579274867,222,7,4,218,7,4
16/09/2020,E08000023,South Tyneside,ALL,ALL,7090,South Tyneside,150976,30593,20.2634855871132,E12000001,North East,4.69611064010174,27,1,1,12,1,1
16/09/2020,E07000141,South Kesteven,ALL,ALL,6665,South Kesteven,142424,32988,23.1618266584284,E12000004,East Midlands,4.6796888164916,231,8,4,205,7,4
16/09/2020,E08000015,Wirral,ALL,ALL,15150,Wirral,324011,70863,21.8705537774952,E12000002,North West,4.67576718074386,42,2,1,38,2,1
16/09/2020,E08000018,Rotherham,ALL,ALL,12350,Rotherham,265411,52299,19.7049104973042,E12000003,Yorkshire and The Humber,4.6531605698332,44,2,1,45,2,1
16/09/2020,E07000146,King's Lynn and West Norfolk,ALL,ALL,7015,King's Lynn and West Norfolk,151383,39669,26.2043954737322,E12000006,East of England,4.63394172397165,94,3,2,134,5,3
16/09/2020,E08000022,North Tyneside,ALL,ALL,9630,North Tyneside,207913,42103,20.2502969992256,E12000001,North East,4.63174500872961,111,4,2,84,3,2
16/09/2020,E07000203,Mid Suffolk,ALL,ALL,4800,Mid Suffolk,103895,25570,24.6113864959815,E12000006,East of England,4.62004908802156,237,8,4,264,9,5
16/09/2020,E08000037,Gateshead,ALL,ALL,9310,Gateshead,202055,39704,19.6500952710896,E12000001,North East,4.60765633119695,47,2,1,47,2,1
16/09/2020,E07000010,Fenland,ALL,ALL,4690,Fenland,101850,23446,23.0201276386843,E12000006,East of England,4.60481099656357,80,3,2,93,3,2
16/09/2020,E06000003,Redcar and Cleveland,ALL,ALL,6285,Redcar and Cleveland,137150,31034,22.6277798031353,E12000001,North East,4.58257382427999,40,2,1,28,1,1
16/09/2020,E06000004,Stockton-on-Tees,ALL,ALL,9040,Stockton-on-Tees,197348,36423,18.4562296045564,E12000001,North East,4.58074062062955,73,3,2,51,2,1
16/09/2020,E06000032,Luton,ALL,ALL,9745,Luton,213052,26941,12.6452696994161,E12000006,East of England,4.57400071344085,70,3,2,66,3,2
16/09/2020,E07000167,Ryedale,ALL,ALL,2530,Ryedale,55380,14955,27.0043336944745,E12000003,Yorkshire and The Humber,4.5684362585771,200,7,4,227,8,4
16/09/2020,E07000108,Dover,ALL,ALL,5380,Dover,118131,27789,23.5238845011047,E12000008,South East,4.55426602669917,113,4,2,105,4,2
16/09/2020,E07000069,Castle Point,ALL,ALL,4105,Castle Point,90376,22924,25.365141187926,E12000006,East of England,4.54213508010976,178,6,3,164,6,3
16/09/2020,E09000013,Hammersmith and Fulham,ALL,ALL,8405,Hammersmith and Fulham,185143,20369,11.0017662023409,E12000007,London,4.5397341514397,112,4,2,88,3,2
16/09/2020,E07000090,Havant,ALL,ALL,5720,Havant,126220,29708,23.5366819838377,E12000008,South East,4.53176992552686,119,4,2,120,4,2
16/09/2020,E07000137,East Lindsey,ALL,ALL,6415,East Lindsey,141727,42539,30.0147466608339,E12000004,East Midlands,4.52630761957849,39,2,1,53,2,1
16/09/2020,E07000173,Gedling,ALL,ALL,5315,Gedling,117896,24846,21.0745063445749,E12000004,East Midlands,4.50821062631472,209,7,4,176,6,3
16/09/2020,E07000046,Torridge,ALL,ALL,3070,Torridge,68267,18934,27.73521613664,E12000009,South West,4.49704835425608,99,4,2,130,5,3
